rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,3697.0,5048.0,0.15,1830,1830 - 1839
102,19.0,24.0,0.12,1830,1830 - 1839
104,10.0,14.0,0.17,1830,1830 - 1839
105,795.0,2325.0,0.49,1830,1830 - 1839
106,60.0,108.0,0.29,1830,1830 - 1839
107,48.0,65.0,0.15,1830,1830 - 1839
108,1.0,0.0,-1.0,1830,1830 - 1839
109,834.0,549.0,-0.21,1830,1830 - 1839
110,276.0,248.0,-0.05,1830,1830 - 1839
111,73.0,64.0,-0.07,1830,1830 - 1839
112,260.0,462.0,0.28,1830,1830 - 1839
113,3319.0,3023.0,-0.05,1830,1830 - 1839
115,1.0,0.0,-1.0,1830,1830 - 1839
116,12.0,10.0,-0.09,1830,1830 - 1839
117,3354.0,8426.0,0.43,1830,1830 - 1839
118,4705.0,9462.0,0.34,1830,1830 - 1839
119,619.0,1821.0,0.49,1830,1830 - 1839
120,94.0,108.0,0.07,1830,1830 - 1839
121,7207.0,4073.0,-0.28,1830,1830 - 1839
122,422.0,628.0,0.2,1830,1830 - 1839
123,413.0,492.0,0.09,1830,1830 - 1839
124,837.0,495.0,-0.26,1830,1830 - 1839
125,1274.0,918.0,-0.16,1830,1830 - 1839
126,605.0,2858.0,0.65,1830,1830 - 1839
127,49.0,61.0,0.11,1830,1830 - 1839
128,1253.0,3271.0,0.45,1830,1830 - 1839
129,2185.0,6864.0,0.52,1830,1830 - 1839
130,30.0,45.0,0.2,1830,1830 - 1839
131,40.0,46.0,0.07,1830,1830 - 1839
132,1.0,3.0,0.5,1830,1830 - 1839
133,615.0,445.0,-0.16,1830,1830 - 1839
134,873.0,556.0,-0.22,1830,1830 - 1839
135,27.0,59.0,0.37,1830,1830 - 1839
136,6822.0,3720.0,-0.29,1830,1830 - 1839
137,4878.0,1812.0,-0.46,1830,1830 - 1839
138,2.0,6.0,0.5,1830,1830 - 1839
139,8421.0,9420.0,0.06,1830,1830 - 1839
140,100.0,222.0,0.38,1830,1830 - 1839
141,61.0,84.0,0.16,1830,1830 - 1839
142,4888.0,3366.0,-0.18,1830,1830 - 1839
143,18.0,21.0,0.08,1830,1830 - 1839
144,239.0,207.0,-0.07,1830,1830 - 1839
145,3048.0,1041.0,-0.49,1830,1830 - 1839
146,3.0,6.0,0.33,1830,1830 - 1839
147,9030.0,5225.0,-0.27,1830,1830 - 1839
148,376.0,1569.0,0.61,1830,1830 - 1839
149,0.0,2.0,1.0,1830,1830 - 1839
150,31.0,64.0,0.35,1830,1830 - 1839
151,1238.0,788.0,-0.22,1830,1830 - 1839
152,7386.0,4486.0,-0.24,1830,1830 - 1839
153,84.0,95.0,0.06,1830,1830 - 1839
154,2817.0,2966.0,0.03,1830,1830 - 1839
155,175.0,653.0,0.58,1830,1830 - 1839
156,3.0,8.0,0.45,1830,1830 - 1839
157,5.0,6.0,0.09,1830,1830 - 1839
158,0.0,4.0,1.0,1830,1830 - 1839
