rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,13.0,8.0,-0.24,1960,1960 - 1969
102,2.0,3.0,0.2,1960,1960 - 1969
104,9.0,10.0,0.05,1960,1960 - 1969
105,10.0,7.0,-0.18,1960,1960 - 1969
106,39.0,58.0,0.2,1960,1960 - 1969
107,16.0,13.0,-0.1,1960,1960 - 1969
109,9.0,2.0,-0.64,1960,1960 - 1969
110,2.0,3.0,0.2,1960,1960 - 1969
111,12.0,6.0,-0.33,1960,1960 - 1969
112,18.0,29.0,0.23,1960,1960 - 1969
113,7.0,17.0,0.42,1960,1960 - 1969
114,1.0,1.0,0.0,1960,1960 - 1969
115,3.0,2.0,-0.2,1960,1960 - 1969
116,9.0,9.0,0.0,1960,1960 - 1969
117,21.0,26.0,0.11,1960,1960 - 1969
118,17.0,14.0,-0.1,1960,1960 - 1969
119,9.0,12.0,0.14,1960,1960 - 1969
120,14.0,15.0,0.03,1960,1960 - 1969
121,13.0,11.0,-0.08,1960,1960 - 1969
122,13.0,10.0,-0.13,1960,1960 - 1969
123,3.0,6.0,0.33,1960,1960 - 1969
124,4.0,6.0,0.2,1960,1960 - 1969
125,6.0,9.0,0.2,1960,1960 - 1969
126,8.0,11.0,0.16,1960,1960 - 1969
127,5.0,9.0,0.29,1960,1960 - 1969
128,4.0,4.0,0.0,1960,1960 - 1969
129,13.0,12.0,-0.04,1960,1960 - 1969
130,4.0,3.0,-0.14,1960,1960 - 1969
131,10.0,8.0,-0.11,1960,1960 - 1969
132,6.0,8.0,0.14,1960,1960 - 1969
133,1.0,1.0,0.0,1960,1960 - 1969
134,11.0,11.0,0.0,1960,1960 - 1969
135,3.0,9.0,0.5,1960,1960 - 1969
136,13.0,13.0,0.0,1960,1960 - 1969
137,9.0,6.0,-0.2,1960,1960 - 1969
138,1.0,7.0,0.75,1960,1960 - 1969
139,16.0,22.0,0.16,1960,1960 - 1969
140,17.0,13.0,-0.13,1960,1960 - 1969
141,4.0,6.0,0.2,1960,1960 - 1969
142,13.0,11.0,-0.08,1960,1960 - 1969
143,1.0,0.0,-1.0,1960,1960 - 1969
144,2.0,2.0,0.0,1960,1960 - 1969
145,2.0,5.0,0.43,1960,1960 - 1969
146,2.0,3.0,0.2,1960,1960 - 1969
147,11.0,20.0,0.29,1960,1960 - 1969
148,40.0,38.0,-0.03,1960,1960 - 1969
150,24.0,14.0,-0.26,1960,1960 - 1969
151,0.0,1.0,1.0,1960,1960 - 1969
152,8.0,11.0,0.16,1960,1960 - 1969
153,11.0,19.0,0.27,1960,1960 - 1969
154,13.0,6.0,-0.37,1960,1960 - 1969
155,8.0,7.0,-0.07,1960,1960 - 1969
156,6.0,3.0,-0.33,1960,1960 - 1969
