rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,2095.0,1601.0,-0.13,1880,1880 - 1889
102,101.0,119.0,0.08,1880,1880 - 1889
104,456.0,874.0,0.31,1880,1880 - 1889
105,3059.0,3795.0,0.11,1880,1880 - 1889
106,803.0,1717.0,0.36,1880,1880 - 1889
107,720.0,1772.0,0.42,1880,1880 - 1889
109,301.0,399.0,0.14,1880,1880 - 1889
110,199.0,210.0,0.03,1880,1880 - 1889
111,108.0,154.0,0.18,1880,1880 - 1889
112,355.0,561.0,0.22,1880,1880 - 1889
113,1742.0,1058.0,-0.24,1880,1880 - 1889
115,20.0,27.0,0.15,1880,1880 - 1889
116,766.0,1995.0,0.45,1880,1880 - 1889
117,6654.0,4140.0,-0.23,1880,1880 - 1889
118,4066.0,2749.0,-0.19,1880,1880 - 1889
119,6075.0,4443.0,-0.16,1880,1880 - 1889
120,5701.0,8177.0,0.18,1880,1880 - 1889
121,2737.0,1710.0,-0.23,1880,1880 - 1889
122,616.0,727.0,0.08,1880,1880 - 1889
123,292.0,370.0,0.12,1880,1880 - 1889
124,461.0,406.0,-0.06,1880,1880 - 1889
125,650.0,1106.0,0.26,1880,1880 - 1889
126,1619.0,2524.0,0.22,1880,1880 - 1889
127,1554.0,2076.0,0.14,1880,1880 - 1889
128,1476.0,785.0,-0.31,1880,1880 - 1889
129,6388.0,6223.0,-0.01,1880,1880 - 1889
130,256.0,625.0,0.42,1880,1880 - 1889
131,2564.0,5392.0,0.36,1880,1880 - 1889
132,182.0,132.0,-0.16,1880,1880 - 1889
133,224.0,295.0,0.14,1880,1880 - 1889
134,413.0,606.0,0.19,1880,1880 - 1889
135,251.0,509.0,0.34,1880,1880 - 1889
136,1817.0,1639.0,-0.05,1880,1880 - 1889
137,1107.0,849.0,-0.13,1880,1880 - 1889
138,272.0,996.0,0.57,1880,1880 - 1889
139,3844.0,2660.0,-0.18,1880,1880 - 1889
140,867.0,3053.0,0.56,1880,1880 - 1889
141,844.0,1519.0,0.29,1880,1880 - 1889
142,2191.0,1932.0,-0.06,1880,1880 - 1889
143,3.0,2.0,-0.2,1880,1880 - 1889
144,192.0,254.0,0.14,1880,1880 - 1889
145,600.0,404.0,-0.2,1880,1880 - 1889
146,774.0,2155.0,0.47,1880,1880 - 1889
147,2821.0,1824.0,-0.21,1880,1880 - 1889
148,3463.0,5774.0,0.25,1880,1880 - 1889
150,2561.0,1540.0,-0.25,1880,1880 - 1889
151,318.0,290.0,-0.05,1880,1880 - 1889
152,1635.0,1288.0,-0.12,1880,1880 - 1889
153,552.0,1904.0,0.55,1880,1880 - 1889
154,1519.0,1513.0,-0.0,1880,1880 - 1889
155,1888.0,1685.0,-0.06,1880,1880 - 1889
156,246.0,560.0,0.39,1880,1880 - 1889
157,0.0,1.0,1.0,1880,1880 - 1889
158,327.0,307.0,-0.03,1880,1880 - 1889
