rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,1289,1036.0,-0.11,1910,1910 - 1919
102,95,62.0,-0.21,1910,1910 - 1919
103,1,2.0,0.33,1910,1910 - 1919
104,463,908.0,0.32,1910,1910 - 1919
105,2915,2379.0,-0.1,1910,1910 - 1919
106,1229,2777.0,0.39,1910,1910 - 1919
107,1552,2141.0,0.16,1910,1910 - 1919
108,1,0.0,-1.0,1910,1910 - 1919
109,173,278.0,0.23,1910,1910 - 1919
110,134,146.0,0.04,1910,1910 - 1919
111,206,215.0,0.02,1910,1910 - 1919
112,513,783.0,0.21,1910,1910 - 1919
113,969,929.0,-0.02,1910,1910 - 1919
115,25,22.0,-0.06,1910,1910 - 1919
116,1527,2338.0,0.21,1910,1910 - 1919
117,2865,2651.0,-0.04,1910,1910 - 1919
118,2215,2114.0,-0.02,1910,1910 - 1919
119,2695,2412.0,-0.06,1910,1910 - 1919
120,3414,2991.0,-0.07,1910,1910 - 1919
121,2280,1593.0,-0.18,1910,1910 - 1919
122,736,806.0,0.05,1910,1910 - 1919
123,191,249.0,0.13,1910,1910 - 1919
124,404,489.0,0.1,1910,1910 - 1919
125,542,654.0,0.09,1910,1910 - 1919
126,1207,1785.0,0.19,1910,1910 - 1919
127,1428,1832.0,0.12,1910,1910 - 1919
128,851,576.0,-0.19,1910,1910 - 1919
129,4403,3147.0,-0.17,1910,1910 - 1919
130,836,1539.0,0.3,1910,1910 - 1919
131,1828,1516.0,-0.09,1910,1910 - 1919
132,231,211.0,-0.05,1910,1910 - 1919
133,183,245.0,0.14,1910,1910 - 1919
134,365,516.0,0.17,1910,1910 - 1919
135,954,1017.0,0.03,1910,1910 - 1919
136,1049,1183.0,0.06,1910,1910 - 1919
137,1081,949.0,-0.07,1910,1910 - 1919
138,1044,1032.0,-0.01,1910,1910 - 1919
139,2159,2812.0,0.13,1910,1910 - 1919
140,4907,6158.0,0.11,1910,1910 - 1919
141,1111,1576.0,0.17,1910,1910 - 1919
142,1622,1390.0,-0.08,1910,1910 - 1919
143,8,9.0,0.06,1910,1910 - 1919
144,126,141.0,0.06,1910,1910 - 1919
145,488,490.0,0.0,1910,1910 - 1919
146,1184,1119.0,-0.03,1910,1910 - 1919
147,1879,1444.0,-0.13,1910,1910 - 1919
148,4193,3835.0,-0.04,1910,1910 - 1919
150,1487,1450.0,-0.01,1910,1910 - 1919
151,169,227.0,0.15,1910,1910 - 1919
152,1255,1121.0,-0.06,1910,1910 - 1919
153,1392,1838.0,0.14,1910,1910 - 1919
154,1421,1267.0,-0.06,1910,1910 - 1919
155,1044,1113.0,0.03,1910,1910 - 1919
156,503,734.0,0.19,1910,1910 - 1919
158,111,104.0,-0.03,1910,1910 - 1919
