rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,2675.0,1830.0,-0.19,1860,1860 - 1869
102,54.0,68.0,0.11,1860,1860 - 1869
103,1.0,1.0,0.0,1860,1860 - 1869
104,57.0,62.0,0.04,1860,1860 - 1869
105,2594.0,3569.0,0.16,1860,1860 - 1869
106,757.0,1576.0,0.35,1860,1860 - 1869
107,216.0,387.0,0.28,1860,1860 - 1869
108,2.0,4.0,0.33,1860,1860 - 1869
109,457.0,469.0,0.01,1860,1860 - 1869
110,264.0,240.0,-0.05,1860,1860 - 1869
111,165.0,191.0,0.07,1860,1860 - 1869
112,357.0,544.0,0.21,1860,1860 - 1869
113,2431.0,1502.0,-0.24,1860,1860 - 1869
114,1.0,0.0,-1.0,1860,1860 - 1869
115,0.0,11.0,1.0,1860,1860 - 1869
116,276.0,614.0,0.38,1860,1860 - 1869
117,8675.0,8877.0,0.01,1860,1860 - 1869
118,6370.0,5403.0,-0.08,1860,1860 - 1869
119,5255.0,8291.0,0.22,1860,1860 - 1869
120,1626.0,4401.0,0.46,1860,1860 - 1869
121,3531.0,3049.0,-0.07,1860,1860 - 1869
122,805.0,979.0,0.1,1860,1860 - 1869
123,555.0,458.0,-0.1,1860,1860 - 1869
124,644.0,581.0,-0.05,1860,1860 - 1869
125,985.0,1169.0,0.09,1860,1860 - 1869
126,1544.0,4065.0,0.45,1860,1860 - 1869
127,877.0,2826.0,0.53,1860,1860 - 1869
128,1809.0,1379.0,-0.13,1860,1860 - 1869
129,6188.0,8915.0,0.18,1860,1860 - 1869
130,165.0,273.0,0.25,1860,1860 - 1869
131,704.0,1686.0,0.41,1860,1860 - 1869
132,199.0,412.0,0.35,1860,1860 - 1869
133,406.0,390.0,-0.02,1860,1860 - 1869
134,580.0,756.0,0.13,1860,1860 - 1869
135,66.0,65.0,-0.01,1860,1860 - 1869
136,4076.0,2557.0,-0.23,1860,1860 - 1869
137,1590.0,1019.0,-0.22,1860,1860 - 1869
138,29.0,55.0,0.31,1860,1860 - 1869
139,8175.0,4573.0,-0.28,1860,1860 - 1869
140,214.0,300.0,0.17,1860,1860 - 1869
141,594.0,1004.0,0.26,1860,1860 - 1869
142,3956.0,2596.0,-0.21,1860,1860 - 1869
143,4.0,5.0,0.11,1860,1860 - 1869
144,213.0,209.0,-0.01,1860,1860 - 1869
145,792.0,487.0,-0.24,1860,1860 - 1869
146,50.0,98.0,0.32,1860,1860 - 1869
147,4024.0,3016.0,-0.14,1860,1860 - 1869
148,1817.0,4038.0,0.38,1860,1860 - 1869
149,1.0,1.0,0.0,1860,1860 - 1869
150,1045.0,1732.0,0.25,1860,1860 - 1869
151,613.0,526.0,-0.08,1860,1860 - 1869
152,7456.0,2481.0,-0.5,1860,1860 - 1869
153,283.0,536.0,0.31,1860,1860 - 1869
154,2345.0,6464.0,0.47,1860,1860 - 1869
155,2862.0,3033.0,0.03,1860,1860 - 1869
156,77.0,99.0,0.12,1860,1860 - 1869
157,5.0,4.0,-0.11,1860,1860 - 1869
158,41.0,81.0,0.33,1860,1860 - 1869
