rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,30.0,31.0,0.02,1950,1950 - 1959
102,6.0,13.0,0.37,1950,1950 - 1959
103,1.0,0.0,-1.0,1950,1950 - 1959
104,37.0,51.0,0.16,1950,1950 - 1959
105,28.0,20.0,-0.17,1950,1950 - 1959
106,141.0,217.0,0.21,1950,1950 - 1959
107,34.0,38.0,0.06,1950,1950 - 1959
109,13.0,12.0,-0.04,1950,1950 - 1959
110,9.0,15.0,0.25,1950,1950 - 1959
111,21.0,17.0,-0.11,1950,1950 - 1959
112,26.0,54.0,0.35,1950,1950 - 1959
113,31.0,34.0,0.05,1950,1950 - 1959
114,0.0,2.0,1.0,1950,1950 - 1959
115,3.0,7.0,0.4,1950,1950 - 1959
116,35.0,35.0,0.0,1950,1950 - 1959
117,46.0,70.0,0.21,1950,1950 - 1959
118,46.0,52.0,0.06,1950,1950 - 1959
119,50.0,35.0,-0.18,1950,1950 - 1959
120,58.0,61.0,0.03,1950,1950 - 1959
121,57.0,41.0,-0.16,1950,1950 - 1959
122,23.0,24.0,0.02,1950,1950 - 1959
123,5.0,14.0,0.47,1950,1950 - 1959
124,22.0,22.0,0.0,1950,1950 - 1959
125,20.0,18.0,-0.05,1950,1950 - 1959
126,41.0,52.0,0.12,1950,1950 - 1959
127,27.0,26.0,-0.02,1950,1950 - 1959
128,27.0,16.0,-0.26,1950,1950 - 1959
129,46.0,48.0,0.02,1950,1950 - 1959
130,16.0,21.0,0.14,1950,1950 - 1959
131,22.0,26.0,0.08,1950,1950 - 1959
132,12.0,5.0,-0.41,1950,1950 - 1959
133,5.0,11.0,0.38,1950,1950 - 1959
134,11.0,22.0,0.33,1950,1950 - 1959
135,32.0,37.0,0.07,1950,1950 - 1959
136,35.0,26.0,-0.15,1950,1950 - 1959
137,26.0,29.0,0.05,1950,1950 - 1959
138,9.0,13.0,0.18,1950,1950 - 1959
139,66.0,79.0,0.09,1950,1950 - 1959
140,62.0,34.0,-0.29,1950,1950 - 1959
141,40.0,38.0,-0.03,1950,1950 - 1959
142,44.0,34.0,-0.13,1950,1950 - 1959
143,2.0,4.0,0.33,1950,1950 - 1959
144,4.0,5.0,0.11,1950,1950 - 1959
145,19.0,12.0,-0.23,1950,1950 - 1959
146,23.0,11.0,-0.35,1950,1950 - 1959
147,48.0,29.0,-0.25,1950,1950 - 1959
148,110.0,109.0,-0.0,1950,1950 - 1959
150,71.0,71.0,0.0,1950,1950 - 1959
151,5.0,5.0,0.0,1950,1950 - 1959
152,46.0,38.0,-0.1,1950,1950 - 1959
153,47.0,52.0,0.05,1950,1950 - 1959
154,35.0,17.0,-0.35,1950,1950 - 1959
155,20.0,13.0,-0.21,1950,1950 - 1959
156,22.0,20.0,-0.05,1950,1950 - 1959
157,0.0,1.0,1.0,1950,1950 - 1959
158,2.0,0.0,-1.0,1950,1950 - 1959
