rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,2133.0,1372.0,-0.22,1890,1890 - 1899
102,115.0,98.0,-0.08,1890,1890 - 1899
103,0.0,1.0,1.0,1890,1890 - 1899
104,365.0,555.0,0.21,1890,1890 - 1899
105,3718.0,2876.0,-0.13,1890,1890 - 1899
106,832.0,1591.0,0.31,1890,1890 - 1899
107,1159.0,1545.0,0.14,1890,1890 - 1899
108,1.0,1.0,0.0,1890,1890 - 1899
109,255.0,324.0,0.12,1890,1890 - 1899
110,173.0,210.0,0.1,1890,1890 - 1899
111,152.0,157.0,0.02,1890,1890 - 1899
112,347.0,461.0,0.14,1890,1890 - 1899
113,1444.0,953.0,-0.2,1890,1890 - 1899
115,13.0,25.0,0.32,1890,1890 - 1899
116,1014.0,2035.0,0.33,1890,1890 - 1899
117,3805.0,3548.0,-0.03,1890,1890 - 1899
118,2543.0,2494.0,-0.01,1890,1890 - 1899
119,3856.0,3422.0,-0.06,1890,1890 - 1899
120,5941.0,3956.0,-0.2,1890,1890 - 1899
121,2170.0,1606.0,-0.15,1890,1890 - 1899
122,607.0,734.0,0.09,1890,1890 - 1899
123,294.0,374.0,0.12,1890,1890 - 1899
124,417.0,444.0,0.03,1890,1890 - 1899
125,646.0,1093.0,0.26,1890,1890 - 1899
126,1237.0,1662.0,0.15,1890,1890 - 1899
127,1423.0,1768.0,0.11,1890,1890 - 1899
128,1191.0,726.0,-0.24,1890,1890 - 1899
129,5898.0,5111.0,-0.07,1890,1890 - 1899
130,405.0,684.0,0.26,1890,1890 - 1899
131,3464.0,2474.0,-0.17,1890,1890 - 1899
132,133.0,187.0,0.17,1890,1890 - 1899
133,202.0,298.0,0.19,1890,1890 - 1899
134,391.0,599.0,0.21,1890,1890 - 1899
135,355.0,444.0,0.11,1890,1890 - 1899
136,1313.0,1650.0,0.11,1890,1890 - 1899
137,1128.0,835.0,-0.15,1890,1890 - 1899
138,498.0,1115.0,0.38,1890,1890 - 1899
139,2504.0,2449.0,-0.01,1890,1890 - 1899
140,2573.0,8815.0,0.55,1890,1890 - 1899
141,900.0,1401.0,0.22,1890,1890 - 1899
142,1786.0,1682.0,-0.03,1890,1890 - 1899
143,5.0,7.0,0.17,1890,1890 - 1899
144,139.0,241.0,0.27,1890,1890 - 1899
145,505.0,467.0,-0.04,1890,1890 - 1899
146,1312.0,1228.0,-0.03,1890,1890 - 1899
147,2476.0,1712.0,-0.18,1890,1890 - 1899
148,4463.0,6206.0,0.16,1890,1890 - 1899
149,1.0,2.0,0.33,1890,1890 - 1899
150,1840.0,1487.0,-0.11,1890,1890 - 1899
151,263.0,289.0,0.05,1890,1890 - 1899
152,1369.0,1226.0,-0.06,1890,1890 - 1899
153,1027.0,1682.0,0.24,1890,1890 - 1899
154,1296.0,1399.0,0.04,1890,1890 - 1899
155,1261.0,1420.0,0.06,1890,1890 - 1899
156,424.0,627.0,0.19,1890,1890 - 1899
157,2.0,1.0,-0.33,1890,1890 - 1899
158,183.0,115.0,-0.23,1890,1890 - 1899
