rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,63,39.0,-0.24,1940,1940 - 1949
102,5,5.0,0.0,1940,1940 - 1949
103,1,1.0,0.0,1940,1940 - 1949
104,66,67.0,0.01,1940,1940 - 1949
105,115,60.0,-0.31,1940,1940 - 1949
106,212,395.0,0.3,1940,1940 - 1949
107,68,67.0,-0.01,1940,1940 - 1949
109,15,17.0,0.06,1940,1940 - 1949
110,6,7.0,0.08,1940,1940 - 1949
111,14,17.0,0.1,1940,1940 - 1949
112,58,62.0,0.03,1940,1940 - 1949
113,48,48.0,0.0,1940,1940 - 1949
114,1,0.0,-1.0,1940,1940 - 1949
115,3,4.0,0.14,1940,1940 - 1949
116,65,64.0,-0.01,1940,1940 - 1949
117,86,99.0,0.07,1940,1940 - 1949
118,60,99.0,0.25,1940,1940 - 1949
119,79,65.0,-0.1,1940,1940 - 1949
120,85,103.0,0.1,1940,1940 - 1949
121,128,83.0,-0.21,1940,1940 - 1949
122,36,38.0,0.03,1940,1940 - 1949
123,8,5.0,-0.23,1940,1940 - 1949
124,17,24.0,0.17,1940,1940 - 1949
125,26,30.0,0.07,1940,1940 - 1949
126,62,79.0,0.12,1940,1940 - 1949
127,49,44.0,-0.05,1940,1940 - 1949
128,38,26.0,-0.19,1940,1940 - 1949
129,150,104.0,-0.18,1940,1940 - 1949
130,18,23.0,0.12,1940,1940 - 1949
131,35,40.0,0.07,1940,1940 - 1949
132,18,20.0,0.05,1940,1940 - 1949
133,10,11.0,0.05,1940,1940 - 1949
134,13,17.0,0.13,1940,1940 - 1949
135,42,53.0,0.12,1940,1940 - 1949
136,46,48.0,0.02,1940,1940 - 1949
137,43,56.0,0.13,1940,1940 - 1949
138,14,11.0,-0.12,1940,1940 - 1949
139,100,119.0,0.09,1940,1940 - 1949
140,188,98.0,-0.31,1940,1940 - 1949
141,68,86.0,0.12,1940,1940 - 1949
142,64,67.0,0.02,1940,1940 - 1949
143,2,2.0,0.0,1940,1940 - 1949
144,4,2.0,-0.33,1940,1940 - 1949
145,26,23.0,-0.06,1940,1940 - 1949
146,18,21.0,0.08,1940,1940 - 1949
147,76,69.0,-0.05,1940,1940 - 1949
148,189,151.0,-0.11,1940,1940 - 1949
150,85,82.0,-0.02,1940,1940 - 1949
151,8,9.0,0.06,1940,1940 - 1949
152,75,53.0,-0.17,1940,1940 - 1949
153,57,105.0,0.3,1940,1940 - 1949
154,65,58.0,-0.06,1940,1940 - 1949
155,28,28.0,0.0,1940,1940 - 1949
156,21,30.0,0.18,1940,1940 - 1949
158,1,1.0,0.0,1940,1940 - 1949
