rootsid,Outflows,Inflows,Netflow_Ratio,Year,Period
101,855,687.0,-0.11,1920,1920 - 1929
102,35,31.0,-0.06,1920,1920 - 1929
103,1,0.0,-1.0,1920,1920 - 1929
104,514,566.0,0.05,1920,1920 - 1929
105,1842,1241.0,-0.19,1920,1920 - 1929
106,997,3131.0,0.52,1920,1920 - 1929
107,1176,1172.0,-0.0,1920,1920 - 1929
109,169,174.0,0.01,1920,1920 - 1929
110,97,97.0,0.0,1920,1920 - 1929
111,175,150.0,-0.08,1920,1920 - 1929
112,465,929.0,0.33,1920,1920 - 1929
113,883,560.0,-0.22,1920,1920 - 1929
114,1,1.0,0.0,1920,1920 - 1929
115,18,36.0,0.33,1920,1920 - 1929
116,1225,1017.0,-0.09,1920,1920 - 1929
117,1499,1749.0,0.08,1920,1920 - 1929
118,1239,1411.0,0.06,1920,1920 - 1929
119,1400,1162.0,-0.09,1920,1920 - 1929
120,1827,1733.0,-0.03,1920,1920 - 1929
121,1614,1123.0,-0.18,1920,1920 - 1929
122,535,482.0,-0.05,1920,1920 - 1929
123,138,191.0,0.16,1920,1920 - 1929
124,310,372.0,0.09,1920,1920 - 1929
125,355,439.0,0.11,1920,1920 - 1929
126,822,1364.0,0.25,1920,1920 - 1929
127,840,842.0,0.0,1920,1920 - 1929
128,471,407.0,-0.07,1920,1920 - 1929
129,2223,1800.0,-0.11,1920,1920 - 1929
130,583,488.0,-0.09,1920,1920 - 1929
131,1001,797.0,-0.11,1920,1920 - 1929
132,158,178.0,0.06,1920,1920 - 1929
133,131,125.0,-0.02,1920,1920 - 1929
134,227,368.0,0.24,1920,1920 - 1929
135,550,548.0,-0.0,1920,1920 - 1929
136,638,805.0,0.12,1920,1920 - 1929
137,754,777.0,0.02,1920,1920 - 1929
138,597,377.0,-0.23,1920,1920 - 1929
139,1456,2013.0,0.16,1920,1920 - 1929
140,3165,2860.0,-0.05,1920,1920 - 1929
141,668,954.0,0.18,1920,1920 - 1929
142,991,867.0,-0.07,1920,1920 - 1929
143,1,7.0,0.75,1920,1920 - 1929
144,60,73.0,0.1,1920,1920 - 1929
145,391,323.0,-0.1,1920,1920 - 1929
146,634,492.0,-0.13,1920,1920 - 1929
147,1146,975.0,-0.08,1920,1920 - 1929
148,2054,2573.0,0.11,1920,1920 - 1929
149,1,0.0,-1.0,1920,1920 - 1929
150,1000,946.0,-0.03,1920,1920 - 1929
151,120,130.0,0.04,1920,1920 - 1929
152,890,728.0,-0.1,1920,1920 - 1929
153,699,1077.0,0.21,1920,1920 - 1929
154,976,873.0,-0.06,1920,1920 - 1929
155,616,658.0,0.03,1920,1920 - 1929
156,483,458.0,-0.03,1920,1920 - 1929
158,42,28.0,-0.2,1920,1920 - 1929
