STATENAM,Percent-White,Percent-Black,Percent-Free,Percent-Slave
Maine,99.8,0.2,0.2,0
New Hampshire,99.8,0.2,0.2,0
Vermont,99.8,0.2,0.2,0
Massachusetts,99.1,0.9,0.9,0
Rhode Island,97.5,2.5,2.5,0
Connecticut,97.9,2.1,2.1,0
New York,98.4,1.6,1.6,0
New Jersey,95.1,4.9,4.9,0
Pennsylvania,97.7,2.3,2.3,0
Ohio,98.7,1.3,1.3,0
Indiana,98.9,1.1,1.1,0
Illinois,99.4,0.6,0.6,0
Michigan,99.4,0.6,0.6,0
Wisconsin,99.8,0.2,0.2,0
Minnesota Territory,99.4,0.6,0.6,0
Iowa,99.8,0.2,0.2,0
Missouri,86.8,13.2,0.4,12.8
Delaware,77.8,22.2,19.7,2.5
Maryland,71.7,28.3,12.8,15.5
District of Columbia,73.4,26.6,19.5,7.1
North Carolina,63.6,36.4,3.2,33.2
South Carolina,41.1,58.9,1.3,57.6
Georgia,57.6,42.4,0.3,42.1
Florida,54,46,1.1,45
Kentucky,77.5,22.5,1,21.5
Tennessee,75.5,24.5,0.6,23.9
Alabama,55.3,44.7,0.3,44.4
Mississippi,48.8,51.2,0.2,51.1
Arkansas,77.3,22.7,0.3,22.4
Louisiana,49.3,50.7,3.4,47.3
Texas,72.5,27.5,0.2,27.4
New Mexico Territory,100,0,0,0
Utah Territory,99.6,0.4,0.2,0.2
Washington,87.3,12.7,12.7,0
California,99,1,1,0
Virginia,62.9,37.1,3.8,33.2
Oregon Territory,98.4,1.6,1.6,0
