STATENAM,Percent-White,Percent-Black,Percent-AI,Percent-Asian
Maine,99.7,0.2,0.1,0
New Hampshire,99.8,0.2,0,0
Vermont,99.7,0.3,0,0
Massachusetts,98.9,1,0,0
Rhode Island,97.8,2.1,0.1,0
Connecticut,98.3,1.6,0,0
New York,98.7,1.2,0,0.1
New Jersey,96.7,3.3,0,0
Pennsylvania,97.9,2,0,0
Ohio,97.6,2.4,0,0
Indiana,97.9,2.1,0,0
Illinois,98.5,1.5,0,0
Michigan,99,0.7,0.3,0
Wisconsin,99.3,0.1,0.6,0
Minnesota,98.9,0.3,0.8,0
Iowa,99.4,0.6,0,0
Missouri,94.4,5.6,0,0
North Dakota,95.5,0.2,4.3,0
South Dakota,94.1,0.2,5.7,0.1
Nebraska,98.5,0.8,0.6,0
Kansas,96.4,3.5,0.1,0
Delaware,83.1,16.8,0,0
Maryland,79.3,20.7,0,0
District of Columbia,67.1,32.8,0,0
Virginia,61.6,38.4,0,0
West Virginia,95.7,4.3,0,0
North Carolina,65.2,34.7,0.1,0
South Carolina,40.1,59.8,0,0
Georgia,53.2,46.7,0,0
Florida,57.5,42.5,0,0
Kentucky,85.6,14.4,0,0
Tennessee,75.6,24.4,0,0
Alabama,55.1,44.8,0.1,0
Mississippi,42.2,57.6,0.2,0
Arkansas,72.6,27.4,0,0
Louisiana,49.9,50,0.1,0
Texas,78.1,21.8,0,0
Montana,89.3,1,7.8,1.8
Idaho,92.7,0.2,4.8,2.3
Wyoming,94.8,1.5,2.9,0.7
Colorado,97.9,1.5,0,0.3
New Mexico Territory,89.2,1.2,9.4,0.2
Arizona Territory,63.2,1.5,34,1.3
Utah Territory,97.7,0.3,1.6,0.4
Nevada,82.6,0.5,10.9,6
Washington,95.4,0.4,3.1,1
Oregon,95.1,0.4,1.6,3
California,91.6,0.9,1.4,6.1
Indian Territory,61.2,10.3,28.5,0
Oklahoma Territory,79.4,3.8,16.8,0
