STATENAM,Percent-White,Percent-Black,Percent-Free,Percent-Slave
New Hampshire,99.5,0.5,0.5,0
Vermont,99.6,0.4,0.4,0
Massachusetts,98.6,1.5,1.5,0
Rhode Island,94.7,5.3,4.8,0.5
Connecticut,97.5,2.5,2.1,0.4
New York,94.7,5.3,1.8,3.5
New Jersey,92,8,2.1,5.9
Pennsylvania,97.3,2.7,2.4,0.3
Delaware,77.6,22.4,12.9,9.6
Maryland,63.3,36.7,5.7,30.9
District of Columbia,69.6,30.4,4.9,25.4
North Carolina,70.6,29.4,1.5,27.9
South Carolina,56.8,43.2,0.9,42.3
Georgia,62.9,37.1,0.6,36.5
Kentucky,81.4,18.6,0.3,18.3
Tennessee,86.8,13.2,0.3,12.9
Northwest Territory,99.3,0.7,0.7,0
District of Columbia ,71.4,28.6,5.6,23
Virginia,58.4,41.6,2.3,39.3
Indiana Territory,94.7,5.3,2.9,2.4
Mississippi Territory,58.4,41.5,2.1,39.4
