STATENAM,Percent-White,Percent-Black,Percent-Free,Percent-Slave
Maine,99.7,0.3,0.3,0
New Hampshire,99.7,0.3,0.3,0
Vermont,99.6,0.4,0.4,0
Massachusetts,98.7,1.3,1.3,0
Rhode Island,95.7,4.3,4.3,0.1
Connecticut,97.1,2.9,2.9,0
New York,97.1,2.9,2.1,0.7
New Jersey,92.8,7.2,4.5,2.7
Pennsylvania,97.1,2.9,2.9,0
Ohio,99.2,0.8,0.8,0
Indiana,99.0,1.0,0.8,0.1
Illinois,97.5,2.5,0.8,1.7
Wisconsin,98.8,1.2,1.2,0
Missouri Territory,84.1,15.9,0.5,15.4
Delaware,76.0,24.0,17.8,6.2
Maryland,63.9,36.1,9.8,26.4
North Carolina,65.6,34.4,2.3,32.1
South Carolina,47.2,52.8,1.4,51.4
Georgia,55.6,44.4,0.5,43.9
Kentucky,77.1,22.9,0.5,22.5
Tennessee,80.4,19.6,0.6,18.9
Alabama,66.8,33.2,0.4,32.7
Mississippi,55.9,44.1,0.6,43.5
Arkansas Territory,88.3,11.7,0.4,11.3
Louisiana,48.2,51.8,6.8,45.0
District of Columbia ,68.4,31.6,12.3,19.3
Virginia,56.6,43.4,3.5,39.9
Michigan Territory,98.0,2.0,2.0,0
