STATENAM,Percent-White,Percent-Black,Percent-Free,Percent-Slave
New Hampshire,99.5,0.5,0.5,0.0
Vermont,99.7,0.3,0.3,0.0
Massachusetts,98.9,1.1,1.1,0.0
Rhode Island,95.2,4.8,4.7,0.1
Connecticut,97.4,2.6,2.5,0.1
New York,95.8,4.2,2.6,1.6
New Jersey,92.4,7.6,3.2,4.4
Pennsylvania,97.1,2.9,2.8,0.1
Ohio,99.2,0.8,0.8,0.0
Indiana Territory,97.4,2.6,1.6,1.0
Illinois Territory,93.6,6.4,5.0,1.4
Michigan Territory,97.0,3.0,2.5,0.5
Missouri,82.4,17.6,3.1,14.5
Delaware,76.2,23.8,18.1,5.7
Maryland,61.8,38.2,8.9,29.3
Virginia,52.9,47.1,3.4,43.7
West Virginia,88.5,11.5,1.2,10.3
South Carolina,51.6,48.4,1.1,47.3
Kentucky,79.8,20.2,0.4,19.8
Tennessee,82.5,17.5,0.5,17.0
Orleans Territory,44.8,55.2,9.9,45.3
Louisiana Territory,82.6,17.4,2.9,14.4
District of Columbia,66.9,33.1,10.6,22.5
North Carolina,67.8,32.2,1.8,30.4
Georgia,57.6,42.4,0.7,41.7
Mississippi Territory,57.1,42.9,0.6,42.3
