STATENAM,Percent-White,Percent-Black,Percent-AI,Percent-Asian
Maine,99.7,0.2,0.1,0
New Hampshire,99.8,0.2,0,0
Vermont,99.7,0.3,0,0
Massachusetts,98.9,1,0,0
Rhode Island,97.6,2.3,0,0
Connecticut,98.1,1.9,0,0
New York,98.7,1.3,0,0
New Jersey,96.5,3.4,0,0
Pennsylvania,98,2,0,0
Ohio,97.5,2.5,0,0
Indiana,98,2,0,0
Illinois,98.5,1.5,0,0
Michigan,98.6,0.9,0.4,0
Wisconsin,99.6,0.2,0.2,0
Minnesota,99.5,0.2,0.3,0
Iowa,99.4,0.6,0,0
Missouri,93.3,6.7,0,0
Nebraska,99.4,0.5,0.1,0
Kansas,95.6,4.3,0.1,0
Delaware,82,18,0,0
Maryland,77.5,22.5,0,0
District of Columbia,66.4,33.6,0,0
Virginia,58.2,41.8,0,0
West Virginia,95.8,4.2,0,0
North Carolina,62,38,0.1,0
South Carolina,39.3,60.7,0,0
Georgia,53,47,0,0
Florida,52.9,47,0.1,0
Kentucky,83.5,16.5,0,0
Tennessee,73.8,26.1,0,0
Alabama,52.5,47.5,0,0
Mississippi,42.4,57.5,0.2,0
Arkansas,73.7,26.3,0,0
Louisiana,48.4,51.5,0.1,0.1
Texas,75.2,24.7,0.1,0
Montana Territory,90.4,0.9,4.2,4.5
Idaho Territory,89,0.2,0.5,10.4
Wyoming Territory,93.5,1.4,0.7,4.4
New Mexico Territory,90.9,0.8,8.2,0
Arizona Territory,86.9,0.4,8.6,4
Utah Territory,98.9,0.2,0.6,0.3
Nevada,86,0.8,4.5,8.7
Washington Territory,89.5,0.4,5.9,4.2
Oregon,93.3,0.3,1,5.4
California,88.7,0.7,1.9,8.7
Colorado,98.4,1.3,0.1,0.3
Dakota Territory,98.5,0.3,1,0.2
