STATENAM,Percent-White,Percent-Black,Percent-AI,Percent-Asian
Maine,99.7,0.2,0.1,0
New Hampshire,99.8,0.2,0,0
Vermont,99.7,0.2,0,0
Massachusetts,98.7,1.1,0,0.1
Rhode Island,97.8,2.1,0,0.1
Connecticut,98.2,1.7,0,0.1
New York,98.5,1.4,0.1,0.1
New Jersey,96.2,3.7,0,0.1
Pennsylvania,97.5,2.5,0,0
Ohio,97.7,2.3,0,0
Indiana,97.7,2.3,0,0
Illinois,98.2,1.8,0,0
Michigan,99.1,0.7,0.3,0
Wisconsin,99.5,0.1,0.4,0
Minnesota,99.2,0.3,0.5,0
Iowa,99.4,0.6,0,0
Missouri,94.8,5.2,0,0
North Dakota,97.7,0.1,2.2,0.1
South Dakota,94.8,0.1,5,0
Nebraska,99.1,0.6,0.3,0
Kansas,96.3,3.5,0.1,0
Delaware,83.4,16.6,0,0
Maryland,80.2,19.8,0,0
District of Columbia,68.7,31.1,0,0.2
Virginia,64.3,35.6,0,0
West Virginia,95.5,4.5,0,0
North Carolina,66.7,33,0.3,0
South Carolina,41.6,58.4,0,0
Georgia,53.3,46.7,0,0
Florida,56.3,43.7,0.1,0
Kentucky,86.7,13.3,0,0
Tennessee,76.2,23.8,0,0
Alabama,54.7,45.2,0,0
Mississippi,41.3,58.5,0.1,0
Arkansas,72,28,0,0
Louisiana,52.8,47.1,0,0
Texas,79.6,20.4,0,0
Montana,93,0.6,4.7,1.7
Idaho,95.5,0.2,2.6,1.7
Wyoming,96.2,1,1.8,0.9
Colorado,98,1.6,0.3,0.1
New Mexico Territory,92.3,0.8,6.7,0.2
Arizona Territory,75.6,1.5,21.5,1.4
Utah,98.5,0.2,0.9,0.4
Nevada,83.6,0.3,12.3,3.7
Washington,95.8,0.5,1.9,1.8
Oregon,95.4,0.3,1.2,3.1
California,94.5,0.7,1,3.8
Indian Territory,77.2,9.4,13.4,0
Oklahoma Territory,92.3,4.7,3,0
