STATENAM,Percent-White,Percent-Black,Percent-Free,Percent-Slave
Maine,99.7,0.3,0.3,0
New Hampshire,99.8,0.2,0.2,0
Vermont,99.7,0.3,0.3,0
Massachusetts,98.8,1.2,1.2,0
Rhode Island,97,3,3,0
Connecticut,97.4,2.6,2.6,0
New York,97.9,2.1,2.1,0
New Jersey,94.2,5.8,5.6,0.2
Pennsylvania,97.2,2.8,2.8,0
Ohio,98.9,1.1,1.1,0
Indiana,99,1,1,0
Illinois,99.2,0.8,0.8,0.1
Michigan,99.7,0.3,0.3,0
Wisconsin Territory,99.4,0.6,0.6,0
Iowa Territory,99.6,0.4,0.4,0
Missouri,84.4,15.6,0.4,15.2
Delaware,75,25,21.7,3.3
Maryland,67.7,32.3,13.2,19.1
North Carolina,64.4,35.6,3,32.6
South Carolina,43.6,56.4,1.4,55
Georgia,59,41,0.4,40.6
Florida Territory,51.3,48.7,1.5,47.2
Kentucky,75.7,24.3,0.9,23.4
Tennessee,77.3,22.7,0.7,22.1
Alabama,56.7,43.3,0.3,42.9
Mississippi,47.7,52.3,0.4,52
Arkansas,79.1,20.9,0.5,20.4
Louisiana,45,55,7.2,47.8
District of Columbia,70.1,29.9,19.1,10.7
Virginia,59.8,40.2,4,36.2
